sku,instanceType,family,regionCode,location,operatingSystem,tenancy,vcpu,memory_gb,price_usd_hour,unit,price_per_vcpu,price_per_gb
CEC547W2ASCGJKER,t3a.medium,t3a,us-east-1,US East (N. Virginia),Linux,Shared,2.0,4.0,0.0376,Hrs,0.0188,0.0094
CFMQD9YW2Z6GHEVH,r7a.large,r7a,us-east-1,US East (N. Virginia),Linux,Shared,2.0,16.0,0.15215,Hrs,0.076075,0.009509375
CGJEK5JRRAWPBZ2U,r7gd.medium,r7gd,us-east-1,US East (N. Virginia),Linux,Shared,1.0,8.0,0.068,Hrs,0.068,0.0085
CGJXHFUSGE546RV6,r4.large,r4,us-east-1,US East (N. Virginia),Linux,Shared,2.0,15.25,0.133,Hrs,0.0665,0.0087213114754098
CGXS8PYBHFGKES9Z,inf1.6xlarge,inf1,us-east-1,US East (N. Virginia),Linux,Shared,24.0,48.0,1.18,Hrs,0.0491666666666666,0.0245833333333333
CHT4CJERGJ7K7SE4,r5ad.16xlarge,r5ad,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,4.192,Hrs,0.0655,0.0081875
CJ9PVTWF5WS3F2EN,m5zn.metal,m5zn,us-east-1,US East (N. Virginia),Linux,Shared,48.0,192.0,3.9641,Hrs,0.0825854166666666,0.0206463541666666
CKRU378FYEJBJZ6N,d3en.xlarge,d3en,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.526,Hrs,0.1315,0.032875
CM493SU5A5Q47YKJ,r5dn.4xlarge,r5dn,us-east-1,US East (N. Virginia),Linux,Shared,16.0,128.0,1.336,Hrs,0.0835,0.0104375
CP753UCWD7NZ47GP,r5b.16xlarge,r5b,us-east-1,US East (N. Virginia),Linux,Shared,64.0,512.0,4.768,Hrs,0.0745,0.0093125
CR38ZU8CYFS9JH2F,x8g.8xlarge,x8g,us-east-1,US East (N. Virginia),Linux,Shared,32.0,512.0,3.1264,Hrs,0.0977,0.00610625
CR9BJ8YMV2HGWRBH,r4.2xlarge,r4,us-east-1,US East (N. Virginia),Linux,Shared,8.0,61.0,0.532,Hrs,0.0665,0.0087213114754098
CRAJUW7BTXFMT2UJ,t3.micro,t3,us-east-1,US East (N. Virginia),Linux,Shared,2.0,1.0,0.0104,Hrs,0.0052,0.0104
CRJDNAEEY9TSPWS5,g5g.2xlarge,g5g,us-east-1,US East (N. Virginia),Linux,Shared,8.0,16.0,0.556,Hrs,0.0695,0.03475
CS3EKS4D96NR8K9B,g5g.metal,g5g,us-east-1,US East (N. Virginia),Linux,Shared,64.0,128.0,2.744,Hrs,0.042875,0.0214375
CS6AH89P63YZPQ4R,is4gen.large,is4gen,us-east-1,US East (N. Virginia),Linux,Shared,2.0,12.0,0.28815,Hrs,0.144075,0.0240125
CSJVG6ZYX268UFAK,c7i.24xlarge,c7i,us-east-1,US East (N. Virginia),Linux,Shared,96.0,192.0,4.284,Hrs,0.044625,0.0223125
CSKXHAP3PBRJR3UD,r6idn.4xlarge,r6idn,us-east-1,US East (N. Virginia),Linux,Shared,16.0,128.0,1.56312,Hrs,0.097695,0.012211875
CTKBGKQ8EDUMAUFZ,m8g.16xlarge,m8g,us-east-1,US East (N. Virginia),Linux,Shared,64.0,256.0,2.87232,Hrs,0.04488,0.01122
CTNY5F32MUHU42ZB,m8gd.xlarge,m8gd,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.23064,Hrs,0.05766,0.014415
CTUFUJZVS9QFW8YW,m7a.xlarge,m7a,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.23184,Hrs,0.05796,0.01449
CUBPPV6YBRE44MSW,c8gd.2xlarge,c8gd,us-east-1,US East (N. Virginia),Linux,Shared,8.0,16.0,0.39192,Hrs,0.04899,0.024495
CZ4SJKC98K8R6G3K,g4ad.2xlarge,g4ad,us-east-1,US East (N. Virginia),Linux,Shared,8.0,32.0,0.54117,Hrs,0.06764625,0.0169115625
D23DFG4YVGYMSX7G,c7i.2xlarge,c7i,us-east-1,US East (N. Virginia),Linux,Shared,8.0,16.0,0.357,Hrs,0.044625,0.0223125
D387H8S89E9AGNXN,i8g.24xlarge,i8g,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,8.2368,Hrs,0.0858,0.010725
D3A672YT5C38ZG9H,t4g.xlarge,t4g,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.1344,Hrs,0.0336,0.0084
D3YXS6CU28JAFC5C,c5.24xlarge,c5,us-east-1,US East (N. Virginia),Linux,Shared,96.0,192.0,4.08,Hrs,0.0425,0.02125
D5JBSPHEHDXDUWJR,r3.2xlarge,r3,us-east-1,US East (N. Virginia),Linux,Shared,8.0,61.0,0.665,Hrs,0.083125,0.0109016393442622
D6XSHDEPCUE5FXQN,c6gd.16xlarge,c6gd,us-east-1,US East (N. Virginia),Linux,Shared,64.0,128.0,2.4576,Hrs,0.0384,0.0192
D8WVCVBE32N227KA,c7i.xlarge,c7i,us-east-1,US East (N. Virginia),Linux,Shared,4.0,8.0,0.1785,Hrs,0.044625,0.0223125
DA6SB8KDJDKA9XF7,c5d.xlarge,c5d,us-east-1,US East (N. Virginia),Linux,Shared,4.0,8.0,0.192,Hrs,0.048,0.024
DDTU53ZXUU33EK4M,x8g.metal-24xl,x8g,us-east-1,US East (N. Virginia),Linux,Shared,96.0,1536.0,9.3792,Hrs,0.0977,0.00610625
DEJKPX4MRWSAZRBN,c5a.24xlarge,c5a,us-east-1,US East (N. Virginia),Linux,Shared,96.0,192.0,3.696,Hrs,0.0385,0.01925
DFGK494W7CDTKA2E,m6id.metal,m6id,us-east-1,US East (N. Virginia),Linux,Shared,128.0,512.0,7.5936,Hrs,0.059325,0.01483125
DFXGBXS4RVR48KWH,x2iezn.4xlarge,x2iezn,us-east-1,US East (N. Virginia),Linux,Shared,16.0,512.0,3.336,Hrs,0.2085,0.006515625
DFY9W427PBEXH8VY,m7i.8xlarge,m7i,us-east-1,US East (N. Virginia),Linux,Shared,32.0,128.0,1.6128,Hrs,0.0504,0.0126
DHQNXA48Y4SVCYVJ,x8g.12xlarge,x8g,us-east-1,US East (N. Virginia),Linux,Shared,48.0,768.0,4.6896,Hrs,0.0977,0.00610625
DNN9XXFVEHTTESXX,c7i-flex.8xlarge,c7i-flex,us-east-1,US East (N. Virginia),Linux,Shared,32.0,64.0,1.3566,Hrs,0.04239375,0.021196875
DPCWVHKZ3AJBNM43,t2.xlarge,t2,us-east-1,US East (N. Virginia),Linux,Shared,4.0,16.0,0.1856,Hrs,0.0464,0.0116
DQY8UD78YMRHHGF8,i3en.24xlarge,i3en,us-east-1,US East (N. Virginia),Linux,Shared,96.0,768.0,10.848,Hrs,0.113,0.014125
DU8E8NJG743V3F8M,t4g.nano,t4g,us-east-1,US East (N. Virginia),Linux,Shared,2.0,0.5,0.0042,Hrs,0.0021,0.0084
DURCD8ZTXYX7FPEU,r5b.2xlarge,r5b,us-east-1,US East (N. Virginia),Linux,Shared,8.0,64.0,0.596,Hrs,0.0745,0.0093125
DW64VZC89TS9M2P2,m5.4xlarge,m5,us-east-1,US East (N. Virginia),Linux,Shared,16.0,64.0,0.768,Hrs,0.048,0.012
